"ANO_ZAFRA","LOTE","TCH_ANTERIOR","RENDIMIENTO_BASCULA_ANTERIOR","REGION","TCH","RENDIMIENTO_BASCULA","AREA","TM","VARIEDAD","TAH","DIF","CATEGORIA","FINCA","CONDICION","UP"
"2019/2020","2270208",99.5627711992013,122.288341012657,"REGION PRODUC. CENTRAL SUR",95.086499321574,118.233204778929,29.48,2803.15,"CG 02-163",11242.3815459992,-4.49592937572154,"Baja, 2 a 10% reducción","MALTA","NO COSECHADO",NA
"2019/2020","2270209",99.0395037933566,129.751005017611,"REGION PRODUC. CENTRAL SUR",109.799337199669,110.034712612618,12.07,1325.278,"RB 84-5210",12081.7385138215,10.8641834764864,"Alto, 2 a 10% incremento","MALTA","NO COSECHADO",NA
"2019/2020","2270210",90.4561908623319,116.882148247347,"REGION PRODUC. CENTRAL SUR",105.829092567259,121.746968962629,21.93,2320.832,"CG 02-163",12884.3712481293,16.9948585700718,"Alto, 2 a 10% incremento","MALTA","NO COSECHADO",NA
"2019/2020","2280101",131.942792327728,133.966219912432,"REGION PRODUC. CENTRAL SUR",106.668063747178,123.812005785382,10.82,1154.14844974446,"SP 83-2847",13206.7869257811,-19.1558236222338,"Muy baja, >10% reducción","SAN ANTONIO LA PAZ","NO COSECHADO",NA
"2019/2020","2280101",131.942792327728,133.966219912432,"REGION PRODUC. CENTRAL SUR",106.668063747178,123.812005785382,10.82,1154.14844974446,"SP 83-2847",13206.7869257811,-19.1558236222338,"Muy baja, >10% reducción","SAN ANTONIO LA PAZ","NO COSECHADO",NA
"2019/2020","2280102",113.94910542207,123.981523484964,"REGION PRODUC. CENTRAL SUR",94.7347255113025,107.079704271729,18.58,1760.1712,"CP 722086",10144.1663920137,-16.8622472634577,"Muy baja, >10% reducción","SAN ANTONIO LA PAZ","NO COSECHADO",NA
"2019/2020","2280103",103.1928686662,126.735171611335,"REGION PRODUC. CENTRAL SUR",132.102186702997,109.683993705133,12.27,1620.89383084577,"CP 731547",14489.4954147658,28.0148409579639,"Muy alto, >10% incremento","SAN ANTONIO LA PAZ","NO COSECHADO",NA
"2019/2020","2280104",127.877357003305,119.698046862566,"REGION PRODUC. CENTRAL SUR",105.844154786151,98.5247456288261,24.55,2598.474,"SP 791287",10428.2684266036,-17.2299480795378,"Muy baja, >10% reducción","SAN ANTONIO LA PAZ","NO COSECHADO",NA
"2019/2020","2280105",130.084602855241,115.469930656891,"REGION PRODUC. CENTRAL SUR",114.4557478917,105.934417440616,22.53,2578.688,"SP 83-2847",12124.8029756372,-12.014377274867,"Muy baja, >10% reducción","SAN ANTONIO LA PAZ","NO COSECHADO",NA
"2019/2020","2280106",126.085939977514,117.257178337064,"REGION PRODUC. CENTRAL SUR",106.563110419907,108.862490638388,32.15,3426.004,"SP 791287",11600.7256104846,-15.4837482760479,"Muy baja, >10% reducción","SAN ANTONIO LA PAZ","NO COSECHADO",NA
